"happines_score","gdp_per_capita"
5.998799801,1.007029295
5.974699974,1.028465629
5.953199863,0.598763585
5.949999809,1.14139545
5.925199986,0.853383601
5.910900116,1.168800831
5.889800072,0.779058397
5.870800018,1.26672411
5.796800137,0.91854918
5.77820015,0.988181829
5.747499943,0.730976343
5.69329977,0.616799474
5.692100048,0.897990823
5.689199924,0.983191848
5.674099922,0.91839546
5.607500076,0.707916796
5.555699825,0.474874616
5.54610014,1.010150075
5.546000004,1.126999617
5.541500092,0.513180971
5.539899826,1.018854499
5.514999866,1.128070116
5.504700184,1.109024286
5.488800049,1.021913767
5.456200123,0.904872775
5.384300232,1.168421626
5.353499889,0.718092382
5.285600185,0.891720712
5.21600008,0.366244704
5.164800167,0.990272701
5.147999763,0.575862467
5.137199879,0.444050372
5.131800175,1.127169251
5.123899937,0.990533412
5.119100094,1.008963585
5.101500034,1.046554685
5.094799995,0.75862211
5.084899902,0.503958046
5.053199768,0.770238638
5.005099773,0.943856001
4.980800152,0.504061818
4.949299812,0.390007734
4.909599781,0.108330332
4.882699966,0.906653047
4.848400116,0.544634938
4.832799911,0.556156278
4.829299927,0.988044381
4.814099789,0.902140439
4.784800053,0.982018709
4.771500111,0.889232516
4.768700123,0.302467644
4.729300022,0.352462649
4.724100113,0.645901859
4.676799774,0.808262408
4.672599792,0.847198069
4.672399998,1.029322505
4.633399963,0.785179198
4.583000183,0.476413399
4.56069994,0.780434608
4.557899952,0.174103007
4.43200016,0.312337428
4.422699928,0.302287489
4.392199993,0.874742687
4.374599934,0.539684892
4.327000141,0.897986948
4.308000088,0.67809093
4.187200069,0.268116266
4.186200142,0.315125644
4.165599823,0.244553208
4.151400089,0.875228941
3.926399946,0.240560383
3.775300026,NA
3.759399891,0.536833763
3.720799923,0.284734428
3.573299885,0.730576158
3.538000107,0.176534727
3.527400017,0.392701775
3.478899956,0.997548997
3.476200104,0.457163125
3.312299967,0.343242675
3.299200058,0.425564021
2.566900015,0.30070585
